D̩partement;Potentiel Fiscal;Population;policier_total;Personnes pour 1 policier
01             ;77740;365109;189;1931,8
02             ;12112;162519;74;2196,2
03             ;17640;134265;68;1974,5
04             ;16726;92117;88;1046,8
05             ;15502;81410;87;935,7
06             ;56843;1005564;1582;635,6
07             ;19852;126773;54;2347,6
08             ;17244;137874;68;2027,6
09             ;14759;70562;23;3067,9
10             ;14879;159878;97;1648,2
11             ;25988;231938;189;1227,2
12             ;11226;102493;45;2277,6
13             ;111138;1945015;1457;1334,9
14             ;23531;253675;225;1127,4
15             ;3700;43510;19;2290
16             ;16630;143179;62;2309,3
17             ;54249;384235;240;1601
18             ;11227;150772;95;1587,1
19             ;2667;53795;36;1494,3
21             ;18173;282974;206;1373,7
22             ;25087;252869;103;2455
24             ;14623;119363;74;1613
25             ;28493;265022;113;2345,3
26             ;35203;304159;157;1937,3
27             ;28498;219314;112;1958,2
28             ;34448;234828;151;1555,2
29             ;34127;297916;78;3819,4
30             ;66013;536657;538;997,5
31             ;74579;952098;493;1931,2
32             ;6331;40576;17;2386,8
33             ;76577;1022489;518;1973,9
34             ;77719;911658;915;996,3
35             ;35653;566139;243;2329,8
36             ;9763;100304;48;2089,7
37             ;29810;384234;235;1635
38             ;149324;881500;468;1883,5
39             ;11759;88221;50;1764,4
40             ;33799;203080;114;1781,4
41             ;6343;86109;54;1594,6
42             ;34912;479729;258;1859,4
43             ;7961;67304;36;1869,6
44             ;47610;762334;343;2222,5
45             ;56661;453100;326;1389,9
46             ;5695;48012;38;1263,5
47             ;13587;151036;76;1987,3
48             ;3404;25355;11;2305
49             ;19378;334782;148;2262
50             ;32696;204837;61;3358
51             ;22840;335043;144;2326,7
52             ;4769;46438;21;2211,3
53             ;6595;96124;25;3845
54             ;33463;394559;156;2529,2
55             ;4297;52499;18;2916,6
56             ;45215;433387;156;2778,1
57             ;59283;570646;324;1761,3
58             ;14320;108262;40;2706,6
59             ;104711;1596711;876;1822,7
60             ;54022;438828;315;1393,1
61             ;9015;85095;32;2659,2
62             ;46306;526301;245;2148,2
63             ;27873;352025;129;2728,9
64             ;37252;366754;190;1930,3
65             ;9616;93502;69;1355,1
66             ;31789;341460;353;967,3
67             ;52535;639093;292;2188,7
68             ;49212;405103;233;1738,6
69             ;119416;1519479;851;1785,5
70             ;4111;41451;18;2302,8
71             ;40567;291696;110;2651,8
72             ;20745;125134;40;3128,3
73             ;71604;250314;286;875,2
74             ;64250;462283;372;1242,7
76             ;59520;794601;416;1910,1
77             ;84883;897244;653;1374
78             ;105364;1172661;721;1626,4
79             ;17145;154049;40;3851,2
80             ;18319;248624;231;1076,3
81             ;9034;152977;91;1681,1
82             ;9007;119031;86;1384,1
83             ;95488;987782;1147;861,2
84             ;60192;492638;536;919,1
85             ;12231;160459;78;2057,2
86             ;12881;155867;50;3117,3
87             ;9618;209057;71;2944,5
88             ;26075;192977;122;1581,8
89             ;21499;147464;83;1776,7
90             ;2454;58430;32;1825,9
91             ;93743;931574;509;1830,2
92             ;39726;1236415;676;1829
93             ;30009;1145512;609;1881
94             ;38921;894097;537;1665
95             ;46942;787410;479;1643,9
